id,cuisine
18009,mexican
28583,southern_us
41580,mexican
29752,mexican
35687,italian
38527,mexican
19666,southern_us
41217,italian
28753,italian
22659,indian
21749,italian
44967,chinese
42969,italian
44883,southern_us
20827,southern_us
23196,mexican
35387,italian
33780,southern_us
19001,italian
16526,italian
42455,indian
47453,southern_us
42478,italian
11885,italian
16585,italian
29639,chinese
26245,indian
38516,mexican
47520,italian
26212,italian
23696,mexican
14926,mexican
13292,southern_us
27346,southern_us
1384,italian
15959,italian
42297,chinese
46235,indian
21181,italian
9809,mexican
22982,filipino
23120,italian
26743,italian
12741,indian
7050,italian
22437,italian
14760,italian
10649,indian
48065,indian
39931,italian
32935,italian
40142,indian
19103,italian
38267,southern_us
30512,mexican
3324,italian
26197,southern_us
384,southern_us
47230,italian
39748,italian
41038,italian
24878,italian
42624,italian
45706,southern_us
8874,italian
23878,chinese
47234,southern_us
24075,mexican
46323,mexican
22562,italian
11358,italian
9201,indian
38620,indian
47638,southern_us
21238,indian
11053,italian
46602,filipino
13937,mexican
21876,italian
20798,italian
24381,indian
48178,italian
45832,mexican
27560,italian
23247,mexican
28975,mexican
43230,mexican
9126,italian
13021,indian
28194,italian
25617,italian
36125,italian
16454,italian
1607,indian
38526,indian
18755,italian
12035,italian
16047,italian
15419,mexican
16971,indian
31459,italian
27888,italian
13900,mexican
12376,italian
1658,italian
29431,italian
22290,italian
28464,cajun_creole
37953,italian
20814,mexican
35987,italian
2329,italian
43237,southern_us
30647,southern_us
16675,italian
37722,italian
32438,japanese
20287,italian
43296,mexican
6237,southern_us
48560,indian
20810,southern_us
34951,italian
31850,mexican
47745,mexican
37815,mexican
9872,italian
5592,italian
27411,indian
39320,italian
40247,southern_us
19792,italian
40754,italian
14365,mexican
14468,southern_us
47563,indian
19611,italian
7163,mexican
43069,southern_us
27505,indian
36500,italian
25932,italian
817,italian
8471,italian
48250,mexican
9413,mexican
12097,italian
8416,mexican
5892,italian
676,southern_us
47015,italian
21891,indian
14630,italian
36195,indian
25981,italian
39964,southern_us
28298,mexican
31954,italian
26620,southern_us
14932,chinese
47426,italian
1038,italian
8077,southern_us
37141,southern_us
45447,japanese
9624,italian
45589,italian
7265,southern_us
31844,southern_us
13046,italian
9867,mexican
29184,italian
34783,italian
2823,mexican
18932,indian
11112,italian
12859,mexican
9365,italian
44516,italian
18193,southern_us
46545,southern_us
9900,italian
14815,italian
39690,italian
22193,italian
11739,italian
27311,italian
36920,italian
7861,italian
29248,italian
43142,mexican
7574,mexican
8610,italian
989,mexican
46926,indian
40816,italian
39726,mexican
42229,mexican
10474,italian
22140,indian
31985,indian
46165,mexican
20860,italian
42494,italian
15968,chinese
20484,southern_us
26661,indian
47182,italian
22528,italian
3861,mexican
1203,italian
45040,italian
33287,indian
10097,mexican
42005,italian
12423,italian
39613,italian
30276,italian
18686,italian
3031,italian
40093,italian
182,mexican
46591,mexican
4092,mexican
13722,mexican
44575,italian
14989,mexican
13270,southern_us
25529,italian
12140,mexican
23127,mexican
13523,mexican
41270,italian
8362,italian
11735,southern_us
27935,italian
28198,italian
37765,chinese
33856,mexican
30198,mexican
42521,chinese
21567,italian
